"houseID","totalPrice","date"
"107000060509","600","20/4/2018 14:55:32"
"107000060521","700","20/4/2018 14:36:55"
"107000060731","400","20/4/2018 14:44:32"
"107000061011","1400","20/4/2018 14:20:31"
"107000061047","2350","20/4/2018 14:24:25"
"107000061199","1890","20/4/2018 14:53:10"
"107000061507","1050","20/4/2018 14:38:52"
"107000061521","1090","20/4/2018 14:25:06"
"107000061561","1500","20/4/2018 10:12:36"
"107000061735","2500","20/4/2018 14:51:46"
"107000061965","860","20/4/2018 14:24:48"
"107000062613","1220","20/4/2018 14:53:41"
"107000062797","490","20/4/2018 14:56:25"
"107000062975","380","20/4/2018 10:11:29"
"107000063021","550","20/4/2018 14:51:49"
"107000063063","1200","20/4/2018 14:26:39"
"107000063095","600","20/4/2018 14:39:12"
"107000063121","950","20/4/2018 10:13:52"
"107000063285","2300","20/4/2018 14:39:52"
"107000063401","2650","20/4/2018 14:26:52"
"107000063503","530","20/4/2018 14:34:14"
"107000063521","950","20/4/2018 10:14:09"
"107000063567","650","20/4/2018 14:43:15"
"107000063665","1200","20/4/2018 14:55:26"
"107000063865","850","20/4/2018 14:39:18"
"107000063903","505","20/4/2018 14:17:58"
"107000064027","1180","20/4/2018 14:55:18"
"107000064085","2200","20/4/2018 14:25:14"
"107000064105","1000","20/4/2018 15:02:18"
"107000064125","1400","20/4/2018 10:15:04"
"107000064207","1550","20/4/2018 14:55:26"
"107000064489","470","20/4/2018 14:55:04"
"107000064661","700","20/4/2018 14:38:47"
"107000064773","255","20/4/2018 14:16:18"
"107000065323","1200","20/4/2018 14:38:36"
"107000065577","958","20/4/2018 14:29:51"
"107000065811","1400","20/4/2018 14:54:00"
"107000066009","840","20/4/2018 14:24:25"
"107000066045","860","20/4/2018 14:51:57"
"107000066275","430","20/4/2018 14:24:57"
"107000066309","1490","20/4/2018 14:55:18"
"107000066509","4800","20/4/2018 14:16:56"
"107000066781","812","20/4/2018 14:25:29"
"107000066937","490","20/4/2018 14:38:36"
"107000067131","1000","20/4/2018 15:09:04"
"107000067333","870","20/4/2018 14:38:22"
"107000067423","2250","20/4/2018 10:11:54"
"107000067457","850","20/4/2018 15:02:29"
"107000067643","335","20/4/2018 10:15:04"
"107000067765","950","20/4/2018 14:38:44"
"107000067767","1250","20/4/2018 14:55:35"
"107000067873","900","20/4/2018 14:24:22"
"107000067917","980","20/4/2018 14:55:04"
"107000068259","1160","20/4/2018 10:11:29"
"107000068533","510","20/4/2018 14:29:08"
"107000068575","960","20/4/2018 14:52:32"
"107000068865","475","20/4/2018 10:14:06"
"107000069031","800","20/4/2018 14:55:38"
"107000069035","750","20/4/2018 14:57:01"
"107000069047","730","20/4/2018 14:55:01"
"107000069199","1200","20/4/2018 14:40:05"
"107000069221","478","20/4/2018 14:34:22"
"107000069379","600","20/4/2018 14:56:25"
"107000069619","2998","20/4/2018 14:52:37"
"107000069621","850","20/4/2018 14:39:04"
"107000069941","1120","20/4/2018 14:55:21"
"107000069971","1880","20/4/2018 14:54:00"
"107000070005","950","20/4/2018 14:55:29"
"107000070533","2230","20/4/2018 10:14:16"
"107000070585","1999","20/4/2018 14:55:32"
"107000070597","415","20/4/2018 14:55:35"
"107000070703","1080","20/4/2018 14:40:24"
"107000070709","850","20/4/2018 14:57:29"
"107000070745","1150","20/4/2018 14:26:34"
"107000070753","1200","20/4/2018 14:52:48"
"107000070787","1480","20/4/2018 14:55:55"
"107000070847","720","20/4/2018 14:26:34"
"107000070859","1420","20/4/2018 14:51:49"
"107000070949","900","20/4/2018 14:29:55"
"107000070955","1220","20/4/2018 14:28:38"
"107000071031","1450","20/4/2018 14:27:09"
"107000071433","280","20/4/2018 14:30:03"
"107000071511","608","20/4/2018 14:55:12"
"107000071557","590","20/4/2018 14:33:45"
"107000071591","1480","20/4/2018 14:55:15"
"107000071843","368","20/4/2018 14:56:11"
"107000071849","1400","20/4/2018 10:11:54"
"107000071853","895","20/4/2018 14:38:36"
"107000072099","310","20/4/2018 10:11:54"
"107000072145","1900","20/4/2018 10:11:29"
"107000072261","7500","20/4/2018 14:38:50"
"107000072645","1000","20/4/2018 14:57:52"
"107000072689","2850","20/4/2018 14:56:39"
"107000072737","305","20/4/2018 14:23:20"
"107000073421","1800","20/4/2018 14:56:17"
"107000073519","1200","20/4/2018 14:38:22"
"107000073553","1350","20/4/2018 14:24:42"
"107000073923","2980","20/4/2018 14:42:15"
"107000074077","780","20/4/2018 14:28:57"
"107000074333","950","20/4/2018 14:27:30"
"107000074341","730","20/4/2018 14:24:20"
"107000074375","950","20/4/2018 14:26:14"
"107000074719","1300","20/4/2018 10:13:43"
"107000074721","605","20/4/2018 14:55:24"
"107000074737","1580","20/4/2018 14:24:14"
"107000075103","1350","20/4/2018 14:30:52"
"107000075477","3200","20/4/2018 14:55:24"
"107000075509","2050","20/4/2018 14:55:12"
"107000075525","1620","20/4/2018 14:28:48"
"107000075629","637","20/4/2018 14:15:38"
"107000075667","720","20/4/2018 14:25:35"
"107000075859","900","20/4/2018 14:57:01"
"107000076151","1300","20/4/2018 14:55:09"
"107000076393","1520","20/4/2018 14:26:06"
"107000076441","1800","20/4/2018 14:52:02"
"107000076581","385","20/4/2018 10:11:57"
"107000076887","1000","20/4/2018 14:52:43"
"107000077051","1280","20/4/2018 14:24:31"
"107000077133","1200","20/4/2018 14:38:55"
"107000077569","1460","20/4/2018 14:52:53"
"107000077725","175","20/4/2018 14:44:35"
"107000077735","2400","20/4/2018 14:56:05"
"107000078019","4100","20/4/2018 14:52:08"
"107000078121","2350","20/4/2018 10:10:09"
"107000078143","900","20/4/2018 14:26:20"
"107000078495","750","20/4/2018 14:55:12"
"107000078601","1480","20/4/2018 10:10:03"
"107000078693","3100","20/4/2018 14:52:37"
"107000078715","800","20/4/2018 14:27:58"
"107000078717","718","20/4/2018 14:29:45"
"107000078785","1220","20/4/2018 10:14:31"
"107000078959","1390","20/4/2018 14:38:41"
"107000079285","2000","20/4/2018 14:52:40"
"107000079459","1250","20/4/2018 14:39:43"
"107000079805","880","20/4/2018 14:52:30"
"107000079827","1520","20/4/2018 14:24:14"
"107000080031","480","20/4/2018 10:13:21"
"107000080313","710","20/4/2018 14:55:12"
"107000080499","2280","20/4/2018 14:55:52"
"107000080621","490","20/4/2018 14:24:22"
"107000080641","900","20/4/2018 14:25:35"
"107000080825","597","20/4/2018 14:55:49"
"107000080927","650","20/4/2018 14:55:35"
"107000081053","930","20/4/2018 14:55:15"
"107000081289","1620","20/4/2018 14:24:57"
"107000081303","2500","20/4/2018 14:39:29"
"107000081315","970","20/4/2018 14:55:09"
"107000081481","1140","20/4/2018 14:25:14"
"107000081611","1260","20/4/2018 14:55:24"
"107000081865","3280","20/4/2018 14:52:56"
"107000082151","2400","20/4/2018 14:55:01"
"107000082169","1600","20/4/2018 14:56:11"
"107000082525","470","20/4/2018 14:18:41"
"107000082531","320","20/4/2018 15:05:42"
"107000082585","840","20/4/2018 14:57:15"
"107000082639","1420","20/4/2018 14:55:24"
"107000082919","1550","20/4/2018 14:26:44"
"107000082921","2580","20/4/2018 14:38:52"
"107000083201","2150","20/4/2018 14:52:08"
"107000083431","2300","20/4/2018 14:52:43"
"107000083815","1180","20/4/2018 14:51:49"
"107000083821","1300","20/4/2018 14:55:18"
"107000084119","1050","20/4/2018 14:46:53"
"107000084287","490","20/4/2018 10:10:09"
"107000084759","980","20/4/2018 14:28:17"
"107000084811","310","20/4/2018 14:33:51"
"107000084909","580","20/4/2018 10:10:09"
"107000084967","1150","20/4/2018 14:38:52"
"107000084983","1780","20/4/2018 14:38:22"
"107000085111","345","20/4/2018 14:20:59"
"107000085129","1750","20/4/2018 14:38:47"
"107000085529","1500","20/4/2018 14:26:01"
"107000085617","326","20/4/2018 15:12:50"
"107000086081","1500","20/4/2018 14:38:13"
"107000086247","750","20/4/2018 14:48:07"
"107000086283","850","20/4/2018 14:58:57"
"107000086411","1300","20/4/2018 15:04:29"
"107000086575","945","20/4/2018 10:10:24"
"107000086653","830","20/4/2018 14:26:23"
"107000086943","1400","20/4/2018 14:55:24"
"107000087023","1780","20/4/2018 10:10:09"
"107000087861","1400","20/4/2018 14:39:12"
"107000088141","3200","20/4/2018 14:41:24"
"107000088287","1300","20/4/2018 14:26:06"
"107000088475","730","20/4/2018 14:26:44"
"107000088945","2300","20/4/2018 14:39:15"
"107000089133","1780","20/4/2018 14:26:06"
